Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[individual]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[genotype]	Characteristics[organism part]	Characteristics[sample group]	Characteristics[injury]	Characteristics[disease]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Performer	Protocol REF	Performer	Derived Array Data File	Factor Value[stimulus]	Factor Value[disease]	Factor Value[sample group]
CDL_0002	ERS18270132	SAMEA115289853	Mus musculus	C57BL/6J	CDL_0002	22	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0002	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0002	sequencing assay	ERX12028546	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_002_S110897_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_002_S110897_1.fastq.gz	ERR12654210	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/010/ERR12654210/ERR12654210.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0002	ERS18270132	SAMEA115289853	Mus musculus	C57BL/6J	CDL_0002	22	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0002	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0002	sequencing assay	ERX12028546	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_002_S110897_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_002_S110897_1.fastq.gz	ERR12654211	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/011/ERR12654211/ERR12654211.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0003	ERS18270133	SAMEA115289854	Mus musculus	C57BL/6J	CDL_0003	22	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0003	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0003	sequencing assay	ERX12028547	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_003_S110899_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_003_S110899_1.fastq.gz	ERR12654212	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/012/ERR12654212/ERR12654212.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0003	ERS18270133	SAMEA115289854	Mus musculus	C57BL/6J	CDL_0003	22	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0003	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0003	sequencing assay	ERX12028547	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_003_S110899_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_003_S110899_1.fastq.gz	ERR12654213	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/013/ERR12654213/ERR12654213.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0007	ERS18270134	SAMEA115289855	Mus musculus	C57BL/6J	CDL_0007	20	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0007	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0007	sequencing assay	ERX12028548	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_007_3_S110898_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_007_3_S110898_1.fastq.gz	ERR12654214	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/014/ERR12654214/ERR12654214.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0007	ERS18270134	SAMEA115289855	Mus musculus	C57BL/6J	CDL_0007	20	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0007	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0007	sequencing assay	ERX12028548	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_007_3_S110898_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_007_3_S110898_1.fastq.gz	ERR12654215	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/015/ERR12654215/ERR12654215.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0008	ERS18270135	SAMEA115289856	Mus musculus	C57BL/6J	CDL_0008	20	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0008	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0008	sequencing assay	ERX12028549	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_008_S110901_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_008_S110901_1.fastq.gz	ERR12654216	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/016/ERR12654216/ERR12654216.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0008	ERS18270135	SAMEA115289856	Mus musculus	C57BL/6J	CDL_0008	20	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0008	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0008	sequencing assay	ERX12028549	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_008_S110901_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_008_S110901_1.fastq.gz	ERR12654217	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/017/ERR12654217/ERR12654217.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0009	ERS18270136	SAMEA115289857	Mus musculus	C57BL/6J	CDL_0009	22	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0009	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0009	sequencing assay	ERX12028550	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_009_S110900_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_4_CDL_009_S110900_1.fastq.gz	ERR12654218	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/018/ERR12654218/ERR12654218.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
CDL_0009	ERS18270136	SAMEA115289857	Mus musculus	C57BL/6J	CDL_0009	22	week	EFO	UO_0000034	adult	male	wild type genotype	liver	CCL4_HC	control (olive oil)	normal	organism part	P-MTAB-140705	Medical University of Vienna	P-MTAB-140709	Medical University of Vienna	P-MTAB-140706	Medical University of Vienna	P-MTAB-140707	The Biomedical Sequencing Facility	CDL_0009	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	not applicable	RNA-Seq	P-MTAB-140708	The Biomedical Sequencing Facility	CDL_0009	sequencing assay	ERX12028550	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_009_S110900_1.fastq.gz	220330_ST-J00104_0281_AHNJ3FBBXY_3_CDL_009_S110900_1.fastq.gz	ERR12654219	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR126/019/ERR12654219/ERR12654219.fastq.gz	P-MTAB-140711	The Biomedical Sequencing Facility	P-MTAB-140710	Medical University of Vienna	count_matrix_raw.csv	control (olive oil)	normal	CCL4_HC
