Approved symbol,DMSO_1,DMSO_2,DMSO_3,MG132_1,MG132_2,MG132_3,BRD1732_1,BRD1732_2,BRD1732_3,BRD1732_1um
CDKN1A,1.66289,1.86084,1.50798,4.49606,5.30806,3.68381,29.834,24.4748,25.0901,2.08134
RRAD,1.19597,1.45583,1.48129,3.52573,5.32036,5.12274,27.6595,26.5351,24.8978,2.80578
SNAI1,0.381192,0.363327,0.643926,4.59789,5.48293,4.79909,25.6597,25.3657,31.2645,1.4417
RSRP1,0.623243,0,1.10133,4.53369,5.56658,4.72555,32.3134,18.5535,29.1491,3.43355
SERPINE1,1.46337,1.46,1.75462,3.67064,5.46415,5.44383,24.381,23.554,30.6203,2.18817
FYTTD1,4.0627,3.80859,4.26219,3.89516,4.51616,4.52333,21.9066,22.9567,24.46,5.60854
CCNF,6.17422,5.95232,6.07731,3.9653,4.12881,4.93523,20.2858,18.1202,23.0508,7.31007
ZSWIM6,2.05889,1.9167,2.17255,5.31826,5.59511,5.85787,25.8424,22.412,25.2108,3.61542
KIF20A,7.0657,7.32051,7.12372,4.14639,4.40458,4.48236,17.7373,18.5525,19.1136,10.0533
PLAUR,1.32286,1.48766,1.44834,5.81679,5.72293,7.36573,24.4474,26.7081,21.2495,4.43072
COL5A3,6.14786,8.03882,6.71368,4.35471,4.68053,5.07301,16.504,18.4925,18.9412,11.0537
UTP4,4.77265,4.58817,4.74411,5.1679,5.59066,5.63723,20.9527,19.5419,20.4071,8.59763
BCL6,2.01497,2.44656,2.13068,6.18127,6.48855,6.32127,22.9792,23.3893,24.1648,3.88344
WDR36,5.00765,4.61657,4.67336,5.08641,5.5106,5.6726,19.4768,18.8522,21.5294,9.57443
SPOP,3.23321,3.03175,3.20896,5.62988,6.1418,6.3814,22.6894,20.5311,23.1565,5.99605
FBXO3,7.47926,7.90265,7.53188,4.62341,4.87457,5.35566,17.7352,17.9948,18.4902,8.01238
PTOV1,3.50877,3.77903,3.57951,5.93474,7.35494,5.7598,23.8621,20.5033,22.5426,3.17523
ZKSCAN5,3.85121,5.27976,5.47744,3.67178,6.50485,7.44394,19.2879,21.405,21.114,5.96417
FOS,0.60392,0.721035,0.768369,6.78706,7.64675,7.13202,26.8786,22.7073,25.0305,1.72449
DNAJB5,2.54595,2.23553,2.44841,6.38536,7.13007,6.5959,23.4743,22.3808,23.7068,3.09685
SIGLEC16,17.796,12.9275,23.1833,0.921075,5.24797,2.53022,11.2567,7.73483,10.6676,7.73475
PER1,4.43627,4.27596,4.24853,5.67736,6.38843,6.36914,21.1108,20.6503,20.6516,6.19158
WDR43,5.08665,5.19481,5.19631,5.40639,5.75075,6.13091,18.7011,18.615,20.2815,9.63658
KIF18A,5.75558,6.04865,5.84942,5.19362,5.70688,5.99244,17.4392,17.8217,20.3903,9.80224
FOSB,3.65764,3.00667,3.33546,7.25024,6.9083,6.136,24.4737,19.536,21.1819,4.51413
KLHDC10,5.32794,5.35326,5.15283,5.69662,6.074,6.64536,18.8276,19.3252,20.3628,7.23449
PRR11,9.28451,10.394,9.19477,4.37326,4.76965,4.91414,13.9937,14.4071,16.017,12.6519
ASPM,5.86599,5.76749,5.75838,5.68154,6.15277,6.05715,18.1311,18.2377,20.1496,8.19828
RPF1,2.22958,2.11592,2.37784,6.68102,7.42512,7.66282,22.424,21.1193,24.713,3.25148
NUSAP1,2.81114,3.02907,3.25452,6.40923,6.81899,7.53549,20.7476,21.2805,22.9866,5.12679
WDR75,6.21981,5.8917,5.84575,5.37451,6.27969,5.77594,17.2311,17.8592,19.0818,10.4406
SGO2,5.23307,4.91027,5.31408,6.00269,6.4979,6.33059,19.7498,18.2423,20.2162,7.50302
CCNE2,2.2836,2.33135,2.29626,6.97102,7.58668,7.33852,23.6735,20.6353,23.1951,3.68873
ARHGAP11A,4.40581,4.47549,4.72597,6.41154,6.50194,6.885,19.5755,18.8765,21.4212,6.72113
CDCA2,5.84785,6.25046,5.84019,5.63764,5.88047,5.92913,17.0846,17.3506,18.2945,11.8845
UTP15,5.34546,5.19684,5.49553,5.84788,6.53923,6.36234,17.6747,18.2125,19.8224,9.50309
AXL,9.93186,9.91492,9.98076,5.0342,5.37744,4.79857,14.9207,13.7736,16.3604,9.90753
