"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Myh3",9.51064378728367,20.6615033988304,2.74377705452991,7.53031423042142,5.0618359161694e-14,3.82833662854708e-13
"Krt20",27.2484129115976,9.28271887144073,0.956786232763313,9.70197788552113,2.95709712875865e-22,4.57966498426246e-21
"Sprr1a",374.283955834935,9.11537818256776,0.793949304309147,11.481058215045,1.64257702917067e-30,4.61292459466791e-29
"Arnt2",41.0190956003255,8.6147874755659,0.906333166031597,9.50510010936261,1.99855687680444e-21,2.90096408776625e-20
"Muc13",15.5755662541271,8.52497748998191,1.0160570202015,8.39025499601512,4.85088856185502e-17,4.85272403320275e-16
"Krt5",9.88216850174408,8.4208763179454,2.13315778768004,3.94761061116988,7.89350517741972e-05,0.000217647646481685
"Fosl1",9.04236788668316,8.25968008612094,1.01937713391235,8.10267349672681,5.37643889399148e-16,4.90156426655666e-15
"Npy",11.2645599378421,8.24996004553281,1.62493603816945,5.07709832986823,3.83242562205425e-07,1.42968556717109e-06
"Greb1",24.1244073867587,7.83992074560727,0.871075101398334,9.00028106993515,2.25140544418979e-19,2.76488125783812e-18
"Wincr1",6.7500398598262,7.61725568075346,2.29517770749265,3.31880867258635,0.000904023468596808,0.00210714890847873
"Acsm4",6.63870811134164,7.56188667368903,0.87954149353946,8.59753261129092,8.14482399465591e-18,8.68296415144568e-17
"Fbn2",86.1540245084439,7.56177933854387,0.602776332365676,12.5449174636082,4.23855738482423e-36,1.72024082282768e-34
"Ctsj",9.49978753033652,7.48764896044573,1.10865383884535,6.75382044249629,1.44001948736106e-11,8.59414403501813e-11
"Bmp8b",51.6326112645387,7.3001345768332,0.597012876684284,12.2277673764375,2.2092764928353e-34,7.97019104345087e-33
"Ly6d",1099.65483371509,7.29885522122014,0.495317299258422,14.7357163421262,3.80144963223581e-49,4.06667215860048e-47
"Serpinb9f",6.20813034190574,7.2235975462489,1.06983846297464,6.75204509488656,1.45775548392795e-11,8.6915852902882e-11
"Dppa5a",9.03149505324258,7.20403855061689,0.988350387804039,7.28895201490551,3.12375275668443e-13,2.19814799497942e-12
"Mmp7",313.07477956285,7.14425023216392,0.50713264847566,14.0875375577536,4.53086642865671e-45,3.4938643747979e-43
"Tmprss11f",4.16934642252942,7.0555631657325,2.93425979656764,2.40454617344577,0.0161925605018125,0.0296701733782414
"Lif",19.8771313772319,7.01894591370868,0.860133067814553,8.16030237221618,3.34186933450561e-16,3.09859598064605e-15
"Syt14",3.75196571314408,6.98903904712837,1.2570856719424,5.55971578001457,2.70214328487824e-08,1.14882990519737e-07
"Cdh17",16.2082971374893,6.85771290177092,1.40472679617122,4.88188373743747,1.05077204995522e-06,3.73184385502232e-06
"Gldn",149.879273281272,6.85326729340924,0.485128519411114,14.126704613714,2.60030723623215e-45,2.0654028335171e-43
"Sdcbp2",13.588910129483,6.8218623999412,0.92672673430934,7.36124484962152,1.82203008155581e-13,1.30446076283765e-12
"Dlk1",10.498129799742,6.77168123071657,1.20784142920672,5.60643232378943,2.06539681123079e-08,8.90179291696513e-08
"Mmp24",9.85490899686638,6.70176334947063,0.932763574393305,7.18484676444364,6.72826057886979e-13,4.57962186587507e-12
"Gpnmb",394.109016288978,6.65158874240665,0.404478439077165,16.4448536678062,9.13046355783442e-61,1.85689548422903e-58
"Serpinb9g",2.95127316532069,6.63838363174157,1.10991546981192,5.98098126595756,2.21797385335302e-09,1.06204507384228e-08
"Tinag",80.6662919673881,6.61809635700095,0.503636185783858,13.1406291760005,1.92618461793648e-39,1.00985548793627e-37
"Gm19510",4.67167548154593,6.605454655783,1.17891460870729,5.60299669458339,2.10677244154888e-08,9.07166998039671e-08
"Slc4a11",11.977104261584,6.59441853106826,0.998667565068689,6.60321688790873,4.02330251255052e-11,2.29175929823861e-10
"Mroh3",4.09557755857653,6.38886793666765,1.04108940657536,6.13671400008159,8.4245853938085e-10,4.19348579567547e-09
"Gml",4.12007877889932,6.34479649858937,2.54216926165419,2.49581984736171,0.0125666405484444,0.0236328438807093
"Scube1",183.347952039979,6.31525572313956,0.349130353348321,18.0885324423195,3.92397838353231e-73,1.8620786652316e-70
"Bmp8a",3.28877417465212,6.31375179821288,1.09786750927768,5.75092326246808,8.87573976149947e-09,3.98407265986104e-08
"Fam163a",12.4640325990825,6.30028389531569,0.887021815827191,7.10273838016078,1.22308808172506e-12,8.12771674272375e-12
"Wnt11",7.55225216589466,6.27913916694403,1.14699828848855,5.47441023231025,4.38971090910211e-08,1.81949338846031e-07
"Cldn4",102.066208172915,6.26381701168606,0.443611660431889,14.1200459103978,2.85805071844046e-45,2.24126884093973e-43
"Csn3",5.86701729791173,6.26144827249712,0.99377489449998,6.3006706117763,2.96360594077845e-10,1.54872310478658e-09
"Tnfrsf10b",90.0018539339104,6.15991790018772,0.338338139274725,18.2063952748347,4.59203710481462e-74,2.23644291312643e-71
"Ly6k",7.51115303483462,6.14792689879729,1.09773854124736,5.60053844134085,2.13687012273163e-08,9.18893620861921e-08
"Fcrls",8.67772724852565,6.07827576908094,1.05160218716817,5.78001438495384,7.4694238527372e-09,3.37986863673856e-08
"Asb11",4.70142971401732,5.993062677768,1.30965978316176,4.57604543929695,4.73847667180891e-06,1.55542723953827e-05
"Gml2",3.09191768852157,5.93863733140302,2.34205201734116,2.5356556077456,0.0112237051727403,0.0213546943180738
"Serpinb9e",2.46294642399624,5.87558316153944,1.36897044258417,4.29197225796071,1.77093078638766e-05,5.37994354295412e-05
"Chd5",3.04898172205085,5.84427910683991,0.983715847373059,5.94102364259621,2.83247755430223e-09,1.3389696576621e-08
"Ajap1",14.9082864754458,5.77470031950681,0.810976279190327,7.12067722285569,1.07398038779386e-12,7.18588396128017e-12
"Scml2",5.51179258853065,5.76547553077537,1.18462805527778,4.8669078071289,1.13357875822625e-06,4.00916787834295e-06
"Rbp3",5.08084810701853,5.75359591718326,0.899286455929679,6.39795682370776,1.57469797248707e-10,8.47671186062193e-10
"Cdkn1a",1141.46253156717,5.74720965203497,0.491264207956422,11.6988161542287,1.2924394111004e-31,3.83935412218862e-30
"Fam71f2",4.53633377461098,5.72975044276316,1.03579108344084,5.53176266369204,3.17028677331582e-08,1.33650335566642e-07
"Gm16144",2.19009764777882,5.72076552277922,1.15000853089673,4.97454181345801,6.5402146684277e-07,2.3700754428939e-06
"Tac1",1.92426468975991,5.65461343652599,2.06146143399721,2.74301199298286,0.00608784620034215,0.0122451657026119
"Plat",243.331221435584,5.6092080582298,0.315379282235851,17.7855945972857,9.13887364580048e-71,3.59857733112403e-68
"Oxct2b",4.99429564047924,5.57826464496573,0.966765917263338,5.77002617216414,7.92592217531885e-09,3.57768394386892e-08
"Tmem200a",4.71625799856567,5.57724776551417,0.961306730171137,5.80173589809496,6.56318790979553e-09,2.99101006270835e-08
"Aoc1",17.2420217224298,5.57093737405887,0.676726345960113,8.23218632954956,1.83827016962887e-16,1.7482459418973e-15
"Sorcs3",4.09818464693366,5.52757195199181,0.919772921899002,6.00971372431725,1.85851209321741e-09,8.97351508196572e-09
"Gm5420",2.13711744600821,5.52033220901873,1.03053019442877,5.35678841712995,8.47142253897357e-08,3.40876110917432e-07
"Phlda3",235.093240491664,5.44890979504073,0.267882319129562,20.340684718372,5.61411644352341e-92,6.11179135413458e-89
"Akr1c18",69.9441591536742,5.44804386326909,0.4974783681471,10.9513181117016,6.54876308221719e-28,1.49997473221032e-26
"Gipc2",63.2163313913266,5.441938294889,0.469139144805097,11.5998384597598,4.12856812471279e-31,1.19200328056255e-29
"Mmp12",175.981743336193,5.42739405041613,0.508417364258546,10.6750760929089,1.33148388661719e-26,2.80020139654822e-25
"Trpm8",2.42366195271534,5.41605992130923,0.999051608243491,5.42120134397423,5.91998359269822e-08,2.41696749062577e-07
"Inpp5j",16.0140616740381,5.40488225990398,0.881734889812917,6.12982691549244,8.79747281272661e-10,4.37204160432684e-09
"Arc",13.6513545669,5.39333350140201,0.74583083243444,7.23130938928579,4.78359154231753e-13,3.30335554752502e-12
"Spata20",1.3192899070519,5.36870146414816,1.46470540681261,3.66537969968388,0.000246971885827538,0.000629487493597334
"Sult4a1",6.99340739602299,5.36463403367477,0.950551424588395,5.64370732072466,1.6642690120191e-08,7.24720626010293e-08
"Eda2r",141.941018286029,5.35933999202167,0.357550517884356,14.9890427336902,8.6592267814243e-51,1.01428044331531e-48
"Oxct2a",2.11837244649414,5.33249566682473,1.08399812722119,4.91928494424109,8.68609437748621e-07,3.1099545104302e-06
"Nexmif",1.62135477654391,5.33148535457929,1.21267998814857,4.39644869766426,1.10036352891312e-05,3.44109966704885e-05
"Rnf183",1.89094017375018,5.31343758411009,1.3702551055236,3.87769953397087,0.000105448835048917,0.000285480045384772
"Inava",70.9783327404874,5.30147228600328,0.415504763892535,12.7591131238496,2.77340653193763e-37,1.24581152151868e-35
"Bex2",6.72346729081694,5.293694849012,0.947870792963875,5.58482747681176,2.33932322725352e-08,1.00055130498685e-07
"Prrg4",70.0725181645657,5.28991873571143,0.452954483719806,11.6786982485943,1.6378453670066e-31,4.81901497729588e-30
"Gzmm",15.4564969666861,5.24786920607415,0.553370706403364,9.48346044586044,2.45987281559235e-21,3.55941096154555e-20
"Meltf",8.9389239304022,5.24308725540601,0.97171200543092,5.3957213928636,6.82487795406516e-08,2.77295315688e-07
"Scube3",24.618759252125,5.21697939557594,0.565235734856446,9.22974092729806,2.71287258425264e-20,3.58819065503806e-19
"Slc5a5",2.14453958380958,5.20221427622617,1.09106045285641,4.76803486241914,1.86031597405811e-06,6.40298823356768e-06
"Slit2",44.4418229266139,5.19550245044652,0.392266612243446,13.2448245358749,4.83410310271837e-40,2.63131606241203e-38
"Nxph4",2.19472221325365,5.18601970423822,1.0309415408604,5.03037223615033,4.8952850554619e-07,1.79827392857152e-06
"Dnah10",3.92334392095232,5.18212881561326,0.948425140094648,5.46393025294132,4.65706576749194e-08,1.92255891498937e-07
"Alox12e",9.05615613689173,5.17663526104554,0.932641044029337,5.5505119511797,2.84834237523264e-08,1.20765801462613e-07
"Ivl",2.9883872598452,5.16635657368101,1.40515602777656,3.67671381081854,0.000236257841546078,0.000604176298672553
"H19",206.64959314247,5.11564756620912,1.12516087355704,4.54659212423262,5.45215112847762e-06,1.7758352857222e-05
"Ntf5",7.04753394056885,5.09744056978854,0.938322092959397,5.43250618101893,5.55680282368613e-08,2.27672680668495e-07
"Lrp8",13.0798266195328,5.06691773544601,0.61589087821458,8.22697317767495,1.92003431863833e-16,1.82319523525088e-15
"Zfp469",28.2255976976323,5.04307654277039,0.547451420763644,9.21191607418931,3.2035452318266e-20,4.20482351811453e-19
"Usp43",59.3720142795308,5.01573589125971,0.349348113592463,14.3574151286556,9.57315837652185e-47,8.43668771782333e-45
"Fam83b",5.23553060198558,5.00482752249374,0.888702186856522,5.63161382577058,1.78531085587758e-08,7.75058597460154e-08
"Fhl2",95.374699237794,5.00221652361278,0.386991129433069,12.9259203717173,3.21427127493595e-38,1.56132594449448e-36
"1700086P04Rik",2.79410481767199,4.98015393859144,0.976603346178315,5.09946434044076,3.4061602969313e-07,1.27839806561159e-06
"Egr2",20.5163522299052,4.97834131859356,0.567490655287626,8.7725520626773,1.746617162778e-18,1.98798547549399e-17
"Wfdc3",45.5855369587235,4.97630147554986,0.747331446802843,6.65876097792882,2.76145598386648e-11,1.59957013750914e-10
"Tecta",1.95951923177473,4.97090587138067,0.992037032437181,5.01080676309878,5.42023206931818e-07,1.98088931490663e-06
"Crabp2",0.998603923017063,4.95667141969071,1.62895816782832,3.04284758048686,0.00234351000346001,0.0050899354106366
"Fndc10",79.6576464778929,4.95225975042715,0.347829561291164,14.2376045671451,5.35307191414373e-46,4.48277384231032e-44
"Fam83e",4.06239590506865,4.94315743869316,1.33481905273578,3.70324159560196,0.000212861989387191,0.000548286268279574
"Ltf",3.97830002240555,4.94002179200534,1.22491922829532,4.03293676667988,5.50841056193957e-05,0.000155331638381557
"BC016579",8.82423143528358,4.89779188599996,0.878793959470613,5.57331082356369,2.49943044116526e-08,1.06558302636824e-07
"Ano4",4.20272134907274,4.88871703061967,0.933905811618611,5.23470029825248,1.65252781208695e-07,6.44945850238154e-07
"Gm3776",2918.02953766974,4.88147023609425,0.314061692267748,15.5430297813356,1.77394637168407e-54,2.56487699224665e-52
"Adcy8",4.03706729932137,4.87730048901561,0.944619894932514,5.16324133673265,2.42709889046093e-07,9.29216366689295e-07
"Plekhh1",35.2473055164628,4.87328243066901,0.413354136711636,11.7896060492766,4.41601825558431e-32,1.35759551255978e-30
"Gm19589",1.84344711301258,4.8644921037989,1.32485674752981,3.67171176270094,0.000240931324501238,0.000615702295297489
"Cd63",2023.66020736695,4.86248261295784,0.239555743217455,20.2979170845592,1.34151859451127e-91,1.37930470159e-88
"Lrrc55",4.63753798091248,4.84941090232137,1.00843798121968,4.80883405091123,1.51813167632017e-06,5.27031756399499e-06
"Pdcd1",2.69232495207662,4.84328528947706,1.16418119840526,4.16025039410667,3.17898876114877e-05,9.30174624546723e-05
"Insyn1",26.1103538260276,4.84075539243907,0.619844959434458,7.80962290450138,5.73593406129681e-15,4.75351273909181e-14
"Gsta1",3105.48499195867,4.83190516503684,0.314949663028092,15.3418330998686,4.01689601500111e-53,5.38700685142213e-51
"Zmynd12",4.93110708976837,4.8305255334127,0.922359516260519,5.23713958413623,1.63084353677885e-07,6.37020289893758e-07
"Slc17a7",1.26837973269413,4.82158687466463,1.30788498303516,3.68655266877928,0.000227312413663837,0.000582669091367955
"Gpx2",12.8628632287536,4.82144285306104,0.961439307755078,5.01481769485681,5.30837735638341e-07,1.94077715793338e-06
"Kif5c",9.58522108154959,4.81450098649785,0.725033961710715,6.64037995563416,3.12875563858107e-11,1.79993411884426e-10
"Lipn",1.03658023186748,4.81200324454726,1.48258820360578,3.24567754744308,0.00117171474369927,0.00267946679372821
"Inka2",22.5902920646301,4.81021852615909,0.526461153216425,9.13689167143855,6.42731057180696e-20,8.24325965020315e-19
"9130017K11Rik",5.50207904751033,4.79037005623072,0.878096434662459,5.45540315064841,4.88618579779831e-08,2.01265614422109e-07
"Hs6st2",9.08912648426948,4.78728451925648,0.879941638247269,5.44045685665261,5.31441091842523e-08,2.18031041603405e-07
"Msx2",3.61687044910597,4.77961198787407,0.908261346441831,5.26237520356722,1.42206186789573e-07,5.58296541984435e-07
"Mogat2",17.7542661995108,4.77642863829532,0.532225336947542,8.97444805181476,2.84775982585817e-19,3.46505529895839e-18
"Pof1b",16.7333636244046,4.77087915595593,0.594799625255949,8.02098547708897,1.04900131730893e-15,9.31567532602516e-15
