"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Xkr4",0.421394042324425,-0.522510955973989,0.924739908422388,0.236369744510111,0.316785781855937
"Gm19938",0.455830060818274,-0.220665682184556,0.921353571850938,0.573424371519574,0.659480788199897
"Gm10568",0,0,1.22323900198836,NA,NA
"Rp1",0.0878401023184368,0.0101833126638468,1.13767819986723,0.963036618163347,NA
"Sox17",67.2746565738392,0.459454420036862,0.23514019268645,0.0293152221884933,0.0507328237369034
"Mrpl15",1283.64584949431,-0.388291422604245,0.115102582185547,0.000511774243994375,0.0012426405055896
"Lypla1",2055.28789443734,-0.677376717014648,0.200323749816697,0.000243181505867982,0.000620510151537122
"Gm19860",1.90561527283164,-0.759774305494965,0.629079148080194,0.0707975397483275,0.111170038021576
"Tcea1",1595.38557136075,-0.353373644780358,0.0878501644072019,4.26539166677821e-05,0.000122653206303705
"Rgs20",1.20016338523502,0.508402248611768,0.758258866409745,0.240619776347719,0.321759407577112
"Atp6v1h",1338.29271890338,-0.451885939308507,0.0810405074758333,1.49504700234058e-08,6.54418989411472e-08
"Oprk1",0.387373634260036,0.183840472025449,0.949088403830582,0.627366970636419,0.708099908268905
"Npbwr1",0.0180879202865927,-0.00775791890340894,1.13764070377828,0.971835463264106,NA
"Rb1cc1",925.631596506354,-0.373538782185125,0.116673634472869,0.000968406209467335,0.0022475913868337
"Alkal1",0,0,1.22323900198836,NA,NA
"St18",0.323985294544178,0.214262934021119,0.958924290683305,0.572616302881023,0.658769837967149
"Pcmtd1",2436.72198642813,-1.29613579653682,0.0969426366500291,1.35686514217825e-41,8.10048489880415e-40
"Sntg1",8.74995363852208,2.60871192319383,0.535385376429357,3.76997976288228e-08,1.57425576425231e-07
"Rrs1",623.409027568332,0.204048896909753,0.159739974247497,0.178511165060778,0.248773052091854
"Adhfe1",1927.94642227912,-1.41225592888916,0.166503026395833,3.19833820508755e-18,3.55719021403578e-17
"2610203C22Rik",9.73734086021603,0.91759442057954,0.344448839941046,0.00158700484576714,0.00354632922972863
"Vxn",5.64063497822608,3.52600951601872,0.806668461038726,1.57226344195267e-07,6.15177156875645e-07
"Mybl1",50.3940380193978,3.99169214568073,0.40374397312357,7.65355378206716e-25,1.4321973695118e-23
"Vcpip1",589.053895698662,-0.0268660985653154,0.163773073380523,0.862695039143705,0.902079049066759
"1700034P13Rik",14.4445013725188,-0.532394059008268,0.30190394826007,0.0381303503055729,0.0640943136335365
"Sgk3",244.774674965378,0.113888194943492,0.132638688716087,0.373630201915357,0.466193711367393
"Mcmdc2",1.34820476404779,2.16034474579313,1.13737994299951,0.00158439214906155,0.00354091842805001
"Snhg6",187.851513417201,0.483374366235478,0.197298499386995,0.0078890208813621,0.0155123363207999
"Snord87",0.767988358593252,0.0848254068505838,0.697655298473536,0.831275767029215,0.877405077016635
"Tcf24",5.32994836470459,0.468295964753663,0.667573354556384,0.257120376731658,0.34040538036861
"Ppp1r42",10.2856362826437,1.44461826200424,0.974187324079723,0.0115806457948251,0.02197283286086
"Cops5",1268.14765448802,-0.115863448639818,0.0597640154770931,0.050811415621395,0.0828663085041556
"Cspp1",353.243529420484,-0.448575773036751,0.107264454125976,1.75978556059504e-05,5.34959779400993e-05
"Arfgef1",1772.80680172256,-0.260608887846952,0.173402085361787,0.110026094757034,0.16367277032943
"Cpa6",0.0186037448768736,0,1.13758884095906,1,NA
"Prex2",1582.66786792175,0.0186545946652678,0.158255586738853,0.901431890289984,0.931115699815635
"A830018L16Rik",1.32412489259738,1.05229434127799,0.976616534264282,0.0446852594663787,0.0738845793749907
"Gm17644",0.115922650634276,-0.0616972825236429,1.14086518996574,0.779281627108995,NA
"Sulf1",41.1170251139041,1.56465707826777,0.316165060233072,8.29815974024338e-08,3.34365430682962e-07
"Slco5a1",2.19776417623508,1.3768593004389,0.945777061854273,0.0137932649105314,0.0257045568119228
"Prdm14",1.60968510270878,2.07555414941242,1.10450469271342,0.00189834364348845,0.00418494887552601
"Ncoa2",953.298664318677,-0.191543892182146,0.197266617716086,0.294452787462235,0.381506422400139
"Tram1",3342.28592391144,-0.808124305200075,0.0909871792215631,1.50802779181418e-19,1.88066511745991e-18
"Lactb2",4062.09554149137,-1.14499804340396,0.201061130301051,1.74346555315082e-09,8.43784440171606e-09
"Xkr9",423.530343211062,0.0493497736577611,0.135081980608043,0.704756789356413,0.773953738157956
"Gm5523",14.1334945097721,-0.156184686696546,0.255781025846192,0.490313703140348,0.581756360047341
"Eya1",0.41449706277821,0.145072707625911,1.00374070507787,0.678615388689675,0.753397420424704
"Msc",11.4282081259165,0.71784663298526,0.407343344035334,0.0256406315605358,0.0449451760078457
"Trpa1",0.0465880338718996,0.0101833126638468,1.13767819986723,0.963036618163347,NA
"Kcnb2",0.135503767605513,0.0450540165066584,1.09339097271266,0.868897804170782,NA
"Terf1",250.413833566993,-0.806912407826302,0.120855727340447,5.67169513422753e-12,3.52590063315919e-11
"Sbspon",12.627628631332,2.71029280239124,0.430231024843812,1.0051135364097e-11,6.09090904333146e-11
"Gm7634",4.52964422001917,-0.107792884721283,0.429775765272509,0.73949270990869,0.803109652149529
"4930444P10Rik",0.0794092518631118,-0.0257067197435275,1.13815818780939,0.906894917932292,NA
"Rpl7",8623.84098363795,-0.321632467853636,0.0968725781603922,0.000700385937429165,0.0016626529687021
"Rdh10",585.255025599044,-0.388192538349219,0.0842789815233899,2.8531064947228e-06,9.61092863083999e-06
"Stau2",73.8950757542322,-0.146338071820598,0.188052690512114,0.40412968680352,0.496430911567287
"Ube2w",466.86357770835,-0.267269551673056,0.0729033767268348,0.000208314717955047,0.000537846049831761
"Eloc",840.337865417608,-0.161373790075633,0.124013198038072,0.17928998677676,0.249689200487433
"D030040B21Rik",0.579959980636992,0.722462901533507,0.950364569367859,0.127379150414749,0.185739515972719
"Tmem70",826.676741347056,-0.412681261301234,0.0715231422614994,5.26346795898638e-09,2.4219542893327e-08
"Ly96",71.0948401186354,0.0347631723862618,0.155194104652298,0.814260174474142,0.863928971449461
"Jph1",35.4519120630323,-3.58749072459698,0.483768370208549,2.38626265516258e-15,2.05790134944519e-14
"Gdap1",0.107820646162377,0.0480179373293542,1.13919101086606,0.827609064389976,NA
"Pi15",13.571466493589,1.85534345363036,0.41564177178402,6.3780015261148e-07,2.31310355171089e-06
"Crispld1",0.292432037058766,0.106096205472698,0.956552793536085,0.772619564541188,NA
"Crisp4",0,0,1.22323900198836,NA,NA
"Defb44-ps",0,0,1.22323900198836,NA,NA
"Defb18",0,0,1.22323900198836,NA,NA
"Defb41",0,0,1.22323900198836,NA,NA
"Tfap2d",0,0,1.22323900198836,NA,NA
"Tfap2b",0.0150445295154735,-0.00775791890340893,1.13764070377828,0.971835463264106,NA
"Pkhd1",347.596176469908,1.3123814890894,0.168000864162643,7.95387882072148e-16,7.10436463972454e-15
