"","logFC","logCPM","LR","PValue","FDR"
"Sprr1a",9.95231532855719,3.671416069755,229.36434156397,8.20294700087068e-52,2.3576181119058e-49
"Krt20",8.33301884847581,0.0715727641356821,92.9584242152857,5.34045016390749e-22,1.83211438182752e-20
"Fosl1",8.23799247493829,-1.28689049923331,66.8599096487592,2.9150319483108e-16,5.66940837646282e-15
"Ctsj",8.09540237008165,-1.27905501742514,69.429729826397,7.91860309824248e-17,1.63211558838437e-15
"Wincr1",7.83413255919658,-1.61766659876901,59.89969251013,9.98170454143924e-15,1.6508743693952e-13
"Npy",7.69219946170824,-1.04294573185205,48.1279484022488,3.99294331515854e-12,4.93244817255043e-11
"Krt5",7.53311943262883,-1.17079591882891,30.1960222938618,3.90509557428911e-08,2.88526441645634e-07
"Arnt2",7.37810942951364,0.555727053202412,215.528994925648,8.54414194857783e-49,2.02762678700792e-46
"Ppp1r42",7.34705559749757,-1.23163868004331,44.8364802552488,2.14194693131589e-11,2.41946468438202e-10
"Fbn2",7.34419551726569,1.58362245498045,245.270398492248,2.78980721134803e-55,1.01639356529492e-52
"Cdh17",7.2786164679704,-0.619706023203301,56.947506453579,4.47601477991547e-14,6.90405929111947e-13
"Myh7",7.26123242381792,0.113249588723897,5.58243272662521,0.0181415056701062,0.0483779718730553
"Gldn",7.21504228997445,2.36326342583311,309.504296716535,2.80033887510316e-69,2.89745462729174e-66
"Tmprss11f",7.11512808606979,-2.10998949821469,33.2889971504928,7.94307868540212e-09,6.42274511895269e-08
"Gml",7.0848205518499,-2.17231317288952,47.4514273195039,5.6383875918721e-12,6.80897160779437e-11
"Myot",7.06492803647135,-0.93025443558628,6.5971480298829,0.0102142248993378,0.0292139933072945
"Gpnmb",7.01882211215638,3.73746671227135,273.609058553541,1.85502440891677e-61,9.99664924696875e-59
"Syt14",6.88186697126988,-2.21858842325319,26.6759256769691,2.40600662828301e-07,1.58442396776468e-06
"Vmn2r3",6.83213920028925,-0.115442910085635,42.0555747861367,8.87159147810539e-11,9.25316020519587e-10
"Greb1",6.76257453894869,-0.160371899726358,160.451020943341,9.01792323833427e-37,9.18372521283435e-35
"Serpinb9f",6.73992157239015,-1.71399607760902,28.8556575863597,7.79777955665199e-08,5.50655647807581e-07
"Gml2",6.68358768358253,-2.44351196870486,51.4598956003618,7.30747164816513e-13,9.72337289727816e-12
"Sprr1b",6.65164566388905,-2.48365648829173,23.5692080745391,1.20500474943975e-06,7.19805847700036e-06
"Serpinb9g",6.58694923217202,-2.44843613966873,35.8855744843455,2.09252260432604e-09,1.84043802128874e-08
"Wfdc3",6.52765765900122,0.693384699625124,115.608441954901,5.7904518618409e-27,3.10106870207533e-25
"Mmp12",6.4975982911151,2.58479458444835,229.510905103869,7.62090430703887e-52,2.21494305292331e-49
"Myh6",6.40705848018462,-0.88804105488475,5.75978347648666,0.0163970923702086,0.0443293884134809
"Gm19510",6.35471894570872,-2.01690130269696,46.1868787074973,1.07494476536806e-11,1.2570341883262e-10
"Tinag",6.33591661864936,1.48866630382477,510.375429894739,5.25450643205742e-113,1.35918317878029e-108
"Myom2",6.26529678294158,-1.51095168096327,6.92291718663343,0.00850980448134103,0.0248614312761293
"Asb11",6.14834806318371,-2.0233354768315,39.3934515181463,3.46456896867468e-10,3.34645278240135e-09
"Timp1",6.14465078989407,0.918566622059966,121.868776266224,2.46622101556208e-28,1.48703354334602e-26
"Bmp8b",6.13705553190782,0.890902121073112,112.809733851683,2.37506950627405e-26,1.20226855026988e-24
"Akr1c18",6.12847083629862,1.29905645580307,190.572956982343,2.38378936122439e-43,4.00399216927216e-41
"Mmp24",6.10766097710575,-1.19852595760791,69.0379919903337,9.65848158973647e-17,1.97342767205145e-15
"Tnni1",6.05016916022645,-2.33128846705682,6.72458443501327,0.00950928841289246,0.0274099357450735
"Csn3",6.04713724276926,-1.7943871824744,56.1123480562941,6.84458928504991e-14,1.0305529163934e-12
"Myl3",6.04127028676415,-1.34649702677397,7.39113233799387,0.00655462118430439,0.0196874577536463
"Mmp7",5.99981726214209,3.40147938674378,161.427413603561,5.51802984515618e-37,5.70939512018619e-35
"Prss56",5.97792724678103,-2.8423671004075,37.6696180579111,8.37996349962216e-10,7.75266508743657e-09
"Ly6d",5.92219066789633,5.20603567138988,132.036954914398,1.46859730940069e-30,1.03510099733699e-28
"Gm16144",5.91474735749524,-2.73326249499887,43.4830195526802,4.27654244697293e-11,4.63044468295726e-10
"Lif",5.89645207559712,-0.361601158999435,104.234582038642,1.79726135014656e-24,7.73540088922482e-23
"Muc13",5.89593840992494,-0.636328690666611,27.5003193286997,1.5706856999678e-07,1.06025383614475e-06
"Vmn2r4",5.87443754937568,-2.41339477827428,18.4867077805981,1.7109340349333e-05,8.56029606994579e-05
"Dppa5a",5.80759251068809,-1.29492969972762,31.1741319375999,2.35888592294366e-08,1.78883911371397e-07
"Acsm4",5.72173524852766,-1.67838489978551,26.5658507531372,2.54706339452699e-07,1.66923964596478e-06
"Myh1",5.7211129704252,3.06001434984079,5.55964908958556,0.0183790978823945,0.0489258130002982
"Trdc",5.68473453357477,0.054462063507572,85.7839249705193,2.00711159557947e-20,5.80737758868614e-19
"Cldn4",5.67021324382304,1.82826875140831,225.143601506874,6.83109569932546e-51,1.87978672823885e-48
"Scube1",5.60906761990082,2.64399225505109,278.862662422746,1.3287505906411e-62,7.63795367291405e-60
"Atp2a1",5.5070937103334,2.85580274206511,15.8157248951376,6.98198300243828e-05,0.000315573919839369
"Mybpc1",5.50107767060456,0.222726272090255,7.06117595498783,0.00787722735164133,0.0231809146649495
"Tnfrsf10b",5.49981021295019,1.6613311660599,164.684552732385,1.07206009257623e-37,1.14590819895327e-35
