"","logFC","logCPM","LR","PValue","FDR"
"Krt5",9.27459768779343,-1.1141643035076,41.5650557152608,1.14013057604668e-10,9.01888611944937e-10
"Krt20",9.22421871549878,0.121625826584395,130.829942560664,2.69753478425483e-30,1.28503006011638e-28
"Fosl1",9.10921082547794,-1.23528556541911,110.350566206743,8.21072703046045e-26,2.64162781215075e-24
"Npy",9.10233297368918,-0.993829399365446,32.8564517424732,9.92212273166837e-09,6.31845270064169e-08
"Sprr1a",9.03414975424334,3.67840046678919,109.66476400672,1.16046443738327e-25,3.6922181552021e-24
"Arnt2",8.55344457822677,0.573861068792583,165.826390855428,6.03655792226498e-38,5.13643565050093e-36
"Wincr1",8.47503769691999,-1.57037930533045,41.0550216912516,1.48003409093303e-10,1.15522153983599e-09
"Muc13",8.46664315060605,-0.581551891099889,89.439632827273,3.16139392054717e-21,7.0801538132289e-20
"Acsm4",8.41448268918488,-1.64232153210543,196.807722336797,1.03868951812108e-44,1.62835041001443e-42
"Ctsj",8.34145160275193,-1.241212876784,50.4319011375366,1.23372356685168e-12,1.20108120074341e-11
"Tmprss11f",7.9137383296683,-2.06713261111031,27.7655641681947,1.36942040228956e-07,7.64740879663729e-07
"Syt14",7.84810523825666,-2.17915423940193,62.2973796099239,2.95317774850834e-15,3.74460043238555e-14
"Greb1",7.78078823650215,-0.142078535496747,199.951199810177,2.14033226134064e-45,3.57186932929666e-43
"Dlk1",7.62614416969953,-1.19218280233763,31.8126805011994,1.69780675622366e-08,1.05367484076865e-07
"Serpinb9g",7.49523669686237,-2.4152138904808,165.323229062302,7.77502352284836e-38,6.52975758004931e-36
"Fbn2",7.44826558542021,1.59690216675331,309.624826850275,2.63605091266674e-69,2.3512665157914e-66
"Ly6d",7.2937808306051,5.20723409542385,160.003227468305,1.12964809345567e-36,8.85472946467203e-35
"Mroh3",7.24728943576416,-2.1787430174574,49.8152248007131,1.68928043917168e-12,1.62019344160378e-11
"Bmp8b",7.20381431240201,0.917426814506005,220.584331072797,6.74414401877318e-50,1.54381215339474e-47
"Gml",7.2036340259109,-2.14183580216831,24.9052495869195,6.0218223317126e-07,3.10106466761716e-06
"Bmp8a",7.17672965321359,-2.37777003540095,43.0097395614265,5.44680317176802e-11,4.46710392023219e-10
"Serpinb9f",7.16542308727802,-1.66878315448226,77.2374661979629,1.51590456288003e-18,2.64945292756877e-17
"Wnt11",7.13772646348794,-1.60794012162465,32.9103901948109,9.65061017897331e-09,6.15919895138176e-08
"Mmp7",7.1167324510753,3.4028873174876,181.552837116048,2.2201424573301e-41,2.64647119556488e-39
"Ly6k",7.00532334304554,-1.58584706845954,35.2417579789772,2.91211925008564e-09,1.96370669035363e-08
"Fcrls",6.94150637782373,-1.41961832013545,39.1326162965602,3.95973278570095e-10,2.94837098352696e-09
"Dppa5a",6.93981465555269,-1.24517204736172,81.4992576056291,1.75327419384339e-19,3.30135034569713e-18
"Lif",6.82079587462027,-0.319872104357434,95.6040275909983,1.40320651102043e-22,3.49007142505438e-21
"Gldn",6.81798688226114,2.37333916092389,182.840461810965,1.16214002575607e-41,1.4246955472148e-39
"Gml2",6.79780725734457,-2.41753903884746,26.1428403791399,3.17070577241177e-07,1.69141361548722e-06
"Gpnmb",6.63318345176128,3.74067909276824,243.881496659645,5.60265205677253e-55,1.7673634238114e-52
"Gm16144",6.58947069114071,-2.71118481331466,37.5583885694027,8.87170543794558e-10,6.36749180253436e-09
"Cdh17",6.58221719237346,-0.57715691498776,27.3679779167414,1.68193460018128e-07,9.3042348808574e-07
"Ampd1",6.57722708750356,-1.97087787395921,7.18597453776415,0.00734756341590196,0.0198412593046389
"Gm19510",6.55400500406152,-1.97694631610932,46.3428361929266,9.92697878947586e-12,8.7999026849682e-11
