"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Slc1a2",-9.52947146190931,3.77533898386839,-20.2571251175306,2.16424930547908e-23,3.73217578565516e-20,41.6835733689965
"Hsd3b5",-7.86837929309709,2.76687583687636,-13.2457168630461,1.20429198326156e-16,9.64440270310423e-15,27.7849569385652
"Elovl3",-7.78518216361142,4.03977651864595,-9.97344561169287,1.12351017301784e-12,2.56051432999581e-11,18.7275986163683
"Susd4",-7.65153624264971,-1.56992589105377,-14.76993460629,2.67944762859183e-18,4.1752573378786e-16,30.971361042134
"Slco1a1",-7.59694644037955,5.29371702106272,-16.3761263272497,6.42675003115709e-20,1.7685185431483e-17,35.256371376685
"Serpina4-ps1",-6.82669492409189,4.39240078770336,-4.83343340535338,1.80004726126131e-05,4.81458199845376e-05,2.38865165082437
"Nxpe2",-6.44863949436745,0.932976583845525,-21.9157277338975,1.02969350485437e-24,2.9594535433409e-21,44.6345257281846
"Ppp1r3g",-5.99655822122791,2.54679100611642,-4.79563659963175,2.03376599221601e-05,5.3995098964027e-05,2.54137472543938
"Gm5724",-5.97800353972848,-1.01176909271774,-10.8052525362228,9.6553435100047e-14,2.95218404932969e-12,21.0458361204344
"Capn8",-5.95996658718264,-2.63433125754886,-10.5225212951053,2.20135207783096e-13,6.06415060673627e-12,20.2654510140161
"Ces4a",-5.91709431836473,-1.07559127972136,-10.68493934013,1.36939173809944e-13,3.98448324965335e-12,20.7168936839709
"Gm6614",-5.58068248112547,0.122030708241493,-11.5385464760166,1.19519472540901e-14,4.90731777177061e-13,23.0575764429256
"Fam184a",-5.56907550327625,-2.35521599819532,-12.252402736608,1.67143362241895e-15,9.21428850856569e-14,24.8564613493557
"Mup-ps12",-5.55357584502613,1.2197390428128,-10.9320291717232,6.69479493680702e-14,2.14059654672914e-12,21.495899995305
"Pitx3",-5.52132270099718,-2.54252291020422,-8.58035813360143,8.30901461732152e-11,1.1729679908772e-09,14.556722150833
"Grm8",-5.40736318633808,-2.25870294348875,-9.2012264869278,1.18607849781223e-11,2.09708082726651e-10,16.4284579680619
"Irx1",-5.39694588459343,-4.27327058959628,-16.7288799281302,2.93558233907861e-20,9.37465535369708e-18,34.84242158329
"Gabrb3",-5.39533461733091,-1.19312640663394,-12.1227323126329,2.37781543076878e-15,1.2326042434408e-13,24.5243512298076
"Slco1a6",-5.37132032894556,-0.0937055817177401,-13.2116662084497,1.31527396314858e-16,1.04043399402949e-14,27.3802135802434
"Slco1a5",-5.32023117139778,0.591981159334894,-12.083328525153,2.64778158604964e-15,1.34031636568192e-13,24.677803007124
"Serpina12",-5.29845036942567,4.56604662144966,-10.0831659763169,8.08687423120463e-13,1.92087397372424e-11,19.010956598908
"Gm15998",-5.20655010525836,-0.0605424645899303,-8.40034806048632,1.47287463908106e-10,1.95880968067402e-09,14.002809434546
"Rfx4",-5.16638800587966,-0.401976592986334,-11.43972794624,1.57741689286231e-14,6.16360162653614e-13,22.7343532032387
"Dct",-5.07640846953003,-0.928998471088801,-9.33640116606598,7.80990015417277e-12,1.44156519220405e-10,16.822125876676
"Lrp2",-4.87140455763896,-1.32220487816673,-7.39101539668008,3.86733765420813e-09,3.68322618193674e-08,10.8498129971614
"Gm4956",-4.84092131221579,1.78534215547734,-12.6704264362342,5.44310132067177e-16,3.528739395033e-14,26.2709029491766
"Oat",-4.73451434795324,6.84112564900714,-22.0422950619812,8.22720838616921e-25,2.9594535433409e-21,46.4579032726137
"Ctcflos",-4.72185587037805,1.02516017383854,-10.9841773429797,5.7621530352355e-14,1.88313992333533e-12,21.5179864470612
"Rgs16",-4.61869841562119,5.31542160210298,-6.48688913422566,7.67763731893881e-08,5.53967767165942e-07,7.48038824114076
"Cyp7b1",-4.60868976704019,5.28785918245591,-12.2629411716598,1.62438193268628e-15,9.03610482855827e-14,25.0241440139438
"Obp2a",-4.58724147224914,-1.93525273494023,-6.63007077360651,4.77214557963556e-08,3.5666307341356e-07,8.42083275222341
"Mup7",-4.52512049401722,12.4172011289214,-11.2966497282501,2.36265523086208e-14,8.71823150594999e-13,22.4413539417721
"Mup12",-4.52206379659018,12.3368014880889,-11.4454454562528,1.5522409114948e-14,6.08360843297515e-13,22.8606973163322
"Mup1",-4.51745277558741,12.4149813264112,-11.3891214977781,1.81916719106608e-14,6.9404716417856e-13,22.7030690893401
"Slc13a2",-4.51445245002271,-1.89648124378885,-8.77462677146307,4.49739150205901e-11,6.83833576804872e-10,15.117401274069
"Mup15",-4.51021478402142,12.4115958107355,-11.3969631046695,1.77937536151533e-14,6.81882999649142e-13,22.7253177916244
"Mup17",-4.46509251040787,12.096530350965,-11.303027237469,2.32035927381646e-14,8.59985153982259e-13,22.4515127015107
"Sult2a8",-4.46046552461973,7.28878404944743,-12.0859367151654,2.6289849631021e-15,1.33866051260949e-13,24.5300114427516
"Mup11",-4.45614344151614,12.3215708464157,-11.6400578016821,8.99947268202115e-15,3.82248538367555e-13,23.4065388147059
"Mup8",-4.44082358576016,12.4926244762824,-11.2555897769178,2.6543850485701e-14,9.65695893830699e-13,22.3252614229375
"Trhde",-4.43584341596687,-1.13957510281611,-9.25198655154998,1.01357879937664e-11,1.81944780037998e-10,16.5706679728475
"Mup9",-4.42190429695706,11.9498871516773,-11.6751263787629,8.16173360486891e-15,3.56019499421828e-13,23.4969867118511
"Mup14",-4.40543700462808,12.6081905134987,-11.0396336479054,4.91436464064484e-14,1.65520664270261e-12,21.7100065179181
"Mup19",-4.40471393270703,12.6558694188999,-11.391462946498,1.80719183153014e-14,6.90496766708865e-13,22.7145117757776
"Slc26a4",-4.40280964441944,-3.77012333886002,-7.33980756295739,4.57506818488849e-09,4.27386380420768e-08,10.6611795159824
"Mup2",-4.39361969314552,12.6393415654917,-11.1270244787511,3.82737007609979e-14,1.33787272646586e-12,21.9612438123302
"Mup16",-4.39115391327484,12.3838857674524,-11.4336956945981,1.60442893147701e-14,6.2502655377283e-13,22.8274892689129
"Mup13",-4.373622624606,12.4540990789516,-10.9768719179899,5.88440767234188e-14,1.9122107193526e-12,21.5245362588802
