"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Sntg1",8.74995363852208,3.59203376487522,0.945366126298487,1.59442578801916e-06,9.73832839457163e-06
"Mybl1",50.3940380193978,2.35239461408491,0.4489030357543,5.05750624369776e-09,4.70741124123901e-08
"Tcf24",5.32994836470459,5.7271474443574,1.07550624267747,1.36050423046194e-10,1.62730923355136e-09
"Ppp1r42",10.2856362826437,7.06957820782095,0.966235640778625,1.14669596639123e-16,3.12790294904756e-15
"A830018L16Rik",1.32412489259738,1.77059820911411,1.27252119697936,0.00312325319313357,0.00915759306060645
"Slco5a1",2.19776417623508,2.85133746919284,1.08645398031578,8.43526232479981e-05,0.000366358595446697
"Mcm3",216.66060907336,2.1791545828803,0.247647906577639,5.279517478439e-20,2.21018688883262e-18
"Ptpn18",59.7568235616579,1.56779498875963,0.270077455451535,8.73130284659628e-10,9.18589947531667e-09
"Creg2",1.79759384420095,2.23905379854278,1.13780417527649,0.000645468980550215,0.00225005908119712
"Fhl2",95.374699237794,3.69168171837812,0.294723472663426,2.38469559927374e-37,4.06860565215713e-35
"Col3a1",3630.61003594539,2.71147271107649,0.266260319175314,5.59810274525004e-26,4.40181252816726e-24
"Col5a2",382.864632246218,3.26297622417751,0.240742200825666,3.01459003712838e-43,7.36741362452253e-41
"Gm17767",22.3220156354788,2.53989855537433,0.350181657185232,1.02096014788365e-14,2.21391657967337e-13
"Gm6644",315.348644934317,1.87922249399383,0.17956833101255,1.00525559449985e-26,8.45583601233942e-25
"Spats2l",68.4553063077869,1.51409574353439,0.2478036365088,1.51460259154707e-10,1.80326450744758e-09
"Sgo2a",27.0602968531765,2.97787622930629,0.446365267947224,6.25819384801518e-13,1.03265908523134e-11
"Tmem237",93.3133069879931,1.68242571242285,0.156313035933066,7.10931492585033e-28,6.73151625308917e-26
"Plekhm3",84.7194958711311,1.71616707276678,0.214983766583707,1.74877645858589e-16,4.65097386081262e-15
"Bard1",16.94576244432,2.62770191899164,0.467349931399386,4.65930502417975e-10,5.14743624693285e-09
"Slc11a1",177.093171068452,1.68718271072587,0.19808261272163,2.16433004858357e-18,7.44142755297223e-17
"Sgpp2",40.7492453523187,1.54302163851151,0.261910143844141,5.43477168515811e-10,5.9209545738605e-09
"Scg2",1.8702696057151,3.15972645483597,1.30501030394195,9.17237251730962e-05,0.00039458220022727
"Ap1s3",20.7032069386233,1.76845469677095,0.427304103445327,2.24052095620476e-06,1.32677869983507e-05
"Dock10",147.07097910951,1.70973649944782,0.190912329788188,4.27760658504976e-20,1.80327541003788e-18
"Gm10552",2.88716523083578,1.67537671173915,1.03858662377602,0.00260406958863438,0.00781264076152171
"B3gnt7",2.90284445808924,1.72019354385799,0.88823154397297,0.00132388681963891,0.00427468186630416
"Prss56",1.95478179066174,2.78383734845967,1.74938292640719,0.000470908533594125,0.00170463987791228
"Inpp5d",172.128556209473,1.86893682834663,0.181332568955067,5.45075775496269e-26,4.30467048028385e-24
"Arl4c",127.641490030601,2.03816047196118,0.199672062889076,9.60660764367033e-26,7.28338640911293e-24
"Col6a3",1273.68845160147,2.80930127277705,0.212770907662441,2.13705849737856e-41,4.60103606251087e-39
"Rbm44",2.41506070322335,2.10466716136986,1.26826718239337,0.00129626361556186,0.00419512506063201
"Gpc1",545.060241250704,1.53335059403312,0.208576451164213,3.36327458961727e-14,6.72840939748101e-13
"Gpr35",22.5780866782591,2.66299667955519,0.396025445217647,4.25379106029534e-13,7.16292470441725e-12
"Kif1a",35.4255166102081,1.55181013754556,0.333916638075541,3.38107487855284e-07,2.34009717484226e-06
"Mab21l4",5.51765634225269,1.60141242463298,0.662895537123017,0.000532054304623846,0.00189338884280249
"Pask",24.6629573089619,1.59906723160084,0.278156532920074,1.15726768597418e-09,1.19527047977401e-08
"St8sia4",31.0540663711171,1.71262358979486,0.294952645549931,6.84794748726585e-10,7.34114583919401e-09
"Tnfrsf11a",40.7617720716342,2.01365215688451,0.304478093460467,2.14545709231395e-12,3.33625034518467e-11
"Inhbb",75.3076015395684,2.0673981299247,0.274805784225435,2.68089578055715e-15,6.18418369787959e-14
"Sctr",8.67986619789899,2.31739664935483,0.599996960564075,3.16299437478894e-06,1.81653709965253e-05
"Mcm6",337.552354317728,3.28374648911252,0.308389885773512,6.58514783853311e-28,6.3011851142789e-26
"Cxcr4",66.234994557123,2.34949162474806,0.299465545618426,1.26822227616606e-16,3.43350297372203e-15
"Rab7b",65.8082511868493,2.45106329798915,0.30157510020126,1.14539341062065e-17,3.54092988565374e-16
"Optc",4.31774115793134,2.71325820899148,0.678219339698307,1.3207076008945e-06,8.21072429088248e-06
"Ppfia4",59.5451668694937,1.51663673870296,0.2731027501301,3.80621226593742e-09,3.62291309628833e-08
"Ube2t",18.3191837016525,1.90887831870404,0.42131820259763,3.47379423603769e-07,2.39510365073357e-06
"Ptpn7",24.1829663733022,1.8133192467849,0.287316485925409,2.51328268461721e-11,3.35444408496695e-10
"Shisa4",17.8002629020337,2.60501198728044,0.469647617774505,7.30020165836241e-10,7.78903522073653e-09
"Phlda3",235.093240491664,2.80666264266887,0.258006612081559,3.66403292675827e-29,3.76500201593314e-27
"Pkp1",32.3341269266853,3.49833693788299,0.494534823891525,4.44823018493223e-14,8.73466263783923e-13
"Mroh3",4.09557755857653,2.33969371226034,1.16860702936735,0.000534879592947141,0.00190157213258287
"Inava",70.9783327404874,4.65376932857792,0.416313662766591,6.17734132523624e-31,7.20756244302563e-29
"Kif14",10.494739830854,2.44645771508747,0.648926863343922,3.94268378800006e-06,2.21714665130538e-05
"Gm19705",26.5133478536711,2.69135782883223,0.362492106463954,2.70053621040921e-15,6.22155380449052e-14
"Aspm",35.7323450775973,1.99933317540673,0.435881195863666,2.31412600760537e-07,1.64573216073705e-06
"Rgs2",122.075075978473,2.12418716378668,0.225833060031424,2.2075774782727e-22,1.18821543733815e-20
"Rgs1",53.8107252443962,1.92832986407144,0.349292752629209,2.24980505280427e-09,2.21973400872697e-08
"Niban1",100.07672553254,1.85888951772704,0.228111432455998,3.11186858882627e-17,9.15091763071921e-16
"Ncf2",121.569417669661,1.94295219814322,0.1830271237405,1.69905642791124e-27,1.5677263009579e-25
"Lamc2",117.090251772938,1.94483649405677,0.2710679726404,4.89515577907367e-14,9.49880818289135e-13
"Fam163a",12.4640325990825,2.47252599306235,0.60149536982846,1.01150447119397e-06,6.40065023147062e-06
"Soat1",100.333359731566,1.90877897962083,0.210150561090937,7.85714827164499e-21,3.56131645345112e-19
"Dnm3os",19.2702622565091,1.68175417395113,0.422331954709478,4.55407823008974e-06,2.5365107727494e-05
"Prrx1",43.4483226509328,1.78174706737644,0.347680827136166,2.51639589401249e-08,2.07519469873305e-07
"BC055324",12.0386446465945,1.60138553325612,0.501782003420513,6.8309674360541e-05,0.000302863559894676
"Sele",4.83604041623631,1.85248128073827,1.03884027104521,0.00149644788470204,0.00476717632461448
"Fam78b",4.87751056980125,2.09023699487689,0.703365980414678,7.38803205789503e-05,0.000324933267915933
"Nuf2",35.6178694510091,3.75350541855578,0.518274646732641,1.27131877157254e-14,2.72092307501649e-13
"Sh2d1b1",7.74598805213569,3.95455761111785,0.790175489710479,8.1462245787983e-09,7.28968191526805e-08
"Olfml2b",31.6878997186307,1.52948261867987,0.296255891571348,2.95462984136664e-08,2.40695858923944e-07
"Fcer1g",244.857247939119,1.72127533888046,0.223155689166972,1.46852470245801e-15,3.51299857724247e-14
"Adamts4",17.0442710283303,1.7834320626223,0.521796565060877,2.8207945646317e-05,0.000134922162658991
"Nectin4",27.609341558518,1.71354486530944,0.335121166265465,3.00150961943656e-08,2.44294786082404e-07
"Ly9",67.1604423794288,2.06067958474057,0.253945407456577,2.46249912312524e-17,7.36104076722643e-16
"Slamf7",40.525711712641,1.77725079823336,0.331626871043721,7.42264205152788e-09,6.70521885623784e-08
"Cd48",61.8745057095199,1.65909858993836,0.24818602682534,3.01541056941415e-12,4.55967392540593e-11
"Slamf9",40.3497702964464,2.8553076760381,0.346243692832841,4.05481969761393e-18,1.35547900612473e-16
"Tagln2",387.309092329895,2.31831882199487,0.192857500892194,7.90294000119131e-35,1.21122601628428e-32
"Vsig8",1.32454599779804,2.68971265491036,1.6504554337006,0.000540345467382863,0.00191987186200768
"Slamf8",20.2129575935499,1.6558837008682,0.394310284305808,2.02594968486328e-06,1.20802176230638e-05
"Apcs",2318.06976273662,2.26995684504735,0.216983239981094,4.0907663491471e-27,3.64440933124755e-25
"Ifi209",69.4603566690882,1.51721344924417,0.255296718112043,4.12143141592469e-10,4.59531980006153e-09
"Exo1",10.8377989954344,4.07162522646095,0.635788580118744,2.95171538800738e-12,4.47083524222056e-11
"Hmga2-ps1",12.5197755350021,2.60945060826469,0.494392365888799,3.26932949866689e-09,3.13998003098198e-08
"1700016C15Rik",4.39718701392335,4.5709242997386,1.02191944270795,4.31954001276053e-08,3.43078090165895e-07
"Tgfb2",71.5250352074018,2.91469679103778,0.246261554895001,7.02887463940847e-34,9.85404634524823e-32
"Kcnk2",8.0306787676401,1.94018131256346,0.615351790818883,5.23540671730641e-05,0.000237955090430979
"Cenpf",53.3242785067643,2.25208626006302,0.477942624026805,8.66077162640358e-08,6.58109474216423e-07
"Ptpn14",161.230086664416,1.6700512463997,0.22597337645626,1.94907305728724e-14,4.01469091583595e-13
"Nsl1",15.5417922392451,2.80434057512058,0.466679138040002,4.40234662177335e-11,5.69095344208514e-10
"Dtl",31.3543855554521,3.14377706118621,0.453319225549785,1.08313032373052e-13,1.98464153036134e-12
"Cd34",219.170941707817,1.96495951551605,0.223829149146026,1.05699682104333e-19,4.33464569355297e-18
"Mthfd1l",101.354517315489,1.83921555789947,0.283139928909003,7.12561860404171e-12,1.0115134415549e-10
"Lrp11",62.9715805378947,1.5810004787974,0.224092136183909,2.68002002102705e-13,4.65145509407623e-12
"Hebp2",50.1797750089121,3.24045992848476,0.323367777076862,4.29173336787499e-25,3.02007774155717e-23
"Arfgef3",3.03311082780072,2.59265103814435,1.12550560783731,0.000221693107228341,0.000870716908640678
"Tnfaip3",114.767503400218,1.58842695409541,0.206758294021244,2.49310588856181e-15,5.78791014051865e-14
"Mtfr2",10.7154901286963,2.40047029154735,0.515251964734029,9.34632341628351e-08,7.0723120913593e-07
"Raet1e",494.730605462479,1.84598624706583,0.234775607864597,3.28963479297275e-16,8.54785132628048e-15
"Raet1d",719.479907234738,1.71141257981965,0.248575732330567,6.8483793135593e-13,1.12491316880763e-11
"Ccn2",474.525971727736,2.30138843302929,0.352674832461245,2.22233857385758e-12,3.44691193037858e-11
"Tmem200a",4.71625799856567,3.56666636561257,0.996232386211429,3.3480873949957e-06,1.9149323383459e-05
"Lama2",177.430299019869,2.00669345474162,0.233795952271182,5.30987857470548e-19,1.98407343023861e-17
"Lilrb4b",120.541577004666,1.66947686878446,0.239638416016815,4.23015585152326e-13,7.12976407966432e-12
"Lilrb4a",155.868152337615,1.69296683606861,0.244184713816018,5.09024709673803e-13,8.50805163997295e-12
"Pkib",32.4116543055071,1.98867780253049,0.264254030867036,3.17830517049743e-15,7.27590493777799e-14
"Unc5b",429.788236129446,2.2269769230522,0.137249113809598,1.08071557552569e-60,9.3070196111343e-58
"Hkdc1",36.2396135873612,1.55940207562325,0.353754984030002,9.4780465295947e-07,6.02285563906255e-06
"Egr2",20.5163522299052,3.46606598757942,0.60726739478062,2.6669185849862e-10,3.06229984822066e-09
"Cdk1",127.768231090943,2.9857168916326,0.33608349085892,1.76443195301136e-20,7.70766953386725e-19
"Bicc1",248.598986043744,2.03892595101246,0.243030359157487,2.59151965852289e-18,8.77671030419222e-17
"Ggt1",11.2432662562917,2.30195311264107,0.633225722496953,7.39182843961899e-06,3.96444891252994e-05
"Prmt2",51.1203379849689,1.71826896872936,0.232438799124546,1.72191623698376e-14,3.58765612279392e-13
"Itgb2",254.954126485567,1.86629423869452,0.193360492213463,4.03055689685132e-23,2.3214210662279e-21
"Shc2",71.2682094120338,3.78132396627746,0.32995331574078,8.57105128383592e-32,1.06169494841214e-29
"BB319198",8.63279177184062,3.46014219889436,0.82454688667255,4.04459932622447e-07,2.75090555903608e-06
