"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Myh3",9.51064378728367,19.2271584682239,2.70770302757979,5.05640195544689e-14,3.8242268487722e-13
"Sprr1a",374.283955834935,8.6371267971346,0.821000321892683,1.64257702917158e-30,4.61292459467047e-29
"Krt20",27.2484129115976,8.58630195766847,1.00536644030584,2.9570970876979e-22,4.57966492067156e-21
"Arnt2",41.0190956003255,7.93719209744188,0.942824597124564,1.99855686984142e-21,2.90096407765923e-20
"Muc13",15.5755662541271,7.6477998750801,1.06658108486518,4.85088843367605e-17,4.85272390497527e-16
"Fosl1",9.04236788668316,7.34961294833303,1.06820899115081,5.37643877471363e-16,4.90156415781405e-15
"Fbn2",86.1540245084439,7.23905618374214,0.61228904641732,4.23855737575791e-36,1.72024081914806e-34
"Greb1",24.1244073867587,7.16193686272479,0.900348286966274,2.25140545124904e-19,2.76488126650737e-18
"Ly6d",1099.65483371509,7.07758446558124,0.500548779938551,3.80144963223671e-49,4.06667215860144e-47
"Bmp8b",51.6326112645387,6.97560171370618,0.606206726620861,2.20927647481131e-34,7.97019097842747e-33
"Mmp7",313.07477956285,6.90860800544795,0.512761401990629,4.53086642865796e-45,3.49386437479887e-43
"Acsm4",6.63870811134164,6.85080923879946,0.908481556573566,8.14482419004692e-18,8.68296435974645e-17
"Gldn",149.879273281272,6.63210315766516,0.490033913444312,2.6003071252928e-45,2.06540274539888e-43
"Gpnmb",394.109016288978,6.49592302181435,0.407324102290515,9.13046313299307e-61,1.8568953978275e-58
"Tinag",80.6662919673881,6.37429337950694,0.508959197709017,1.92618462519897e-39,1.00985549174384e-37
"Ctsj",9.49978753033652,6.31415588712942,1.15820282131716,1.44001946835648e-11,8.59414392159734e-11
"Lif",19.8771313772319,6.30763127782432,0.884208572535479,3.34186930926147e-16,3.09859595723958e-15
"Dppa5a",9.03149505324258,6.26484370074092,1.02343612751272,3.12375273948259e-13,2.19814798287469e-12
"Scube1",183.347952039979,6.19617527833772,0.35089478249377,3.92397836546497e-73,1.86207865665795e-70
"Serpinb9f",6.20813034190574,6.11438315037986,1.11130229061034,1.45775545971553e-11,8.6915851459263e-11
"Cldn4",102.066208172915,6.06975562130379,0.447024048020295,2.85805062039341e-45,2.24126876405173e-43
"Tnfrsf10b",90.0018539339104,6.04669387025699,0.339877743917756,4.59203710362654e-74,2.2364429125478e-71
"Sdcbp2",13.588910129483,5.97841111869783,0.952762014671183,1.82203008146298e-13,1.30446076277119e-12
"Mmp24",9.85490899686638,5.8401566316938,0.957437466279075,6.72826059395101e-13,4.57962187614017e-12
"Npy",11.2645599378421,5.67678734328643,1.7570489156639,3.83242562205439e-07,1.42968556717115e-06
"Slc4a11",11.977104261584,5.59584943452017,1.0244417541569,4.02330249686003e-11,2.29175928930097e-10
"Plat",243.331221435584,5.50710325806605,0.316259781126117,9.1388732647186e-71,3.59857718106696e-68
"Fam163a",12.4640325990825,5.50588149990108,0.904045657829626,1.22308808634949e-12,8.1277167734542e-12
