gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000002549,4547.44,1.8,0.11,17.07, 2.5e-65, 1.9e-64,LAP3
ENSG00000003400,866.42,-2.45,0.2,-12.31, 8.0e-35, 2.8e-34,CASP10
ENSG00000004142,4437.08,1.65,0.08,21.59,2.5e-103,4.5e-102,POLDIP2
ENSG00000004399,1356.01,-3.13,0.6,-5.17, 2.3e-07, 3.5e-07,PLXND1
ENSG00000004455,7666.14,1.69,0.06,26.74,1.4e-157,7.0e-156,AK2
ENSG00000004478,14086.04,3.45,0.13,27.02,9.2e-161,4.9e-159,FKBP4
ENSG00000004777,196.17,-3.19,0.29,-10.86, 1.8e-27, 5.4e-27,ARHGAP33
ENSG00000004779,2777.46,2.14,0.09,24.79,1.2e-135,4.3e-134,NDUFAB1
ENSG00000005022,10224.19,1.8,0.06,27.74,2.4e-169,1.5e-167,SLC25A5
ENSG00000005100,3915.3,2.09,0.08,25.93,2.7e-148,1.2e-146,DHX33
ENSG00000005206,1161.98,-2.09,0.15,-13.56, 7.2e-42, 3.1e-41,SPPL2B
ENSG00000005238,283.81,-2.87,0.31,-9.2, 3.5e-20, 8.2e-20,ATOSB
ENSG00000006025,481.6,-3.14,0.14,-22.87,1.0e-115,2.4e-114,OSBPL7
ENSG00000006282,491.98,-1.64,0.24,-6.77, 1.3e-11, 2.4e-11,SPATA20
ENSG00000006459,3169.91,-2.68,0.19,-14.03, 1.0e-44, 4.7e-44,KDM7A
ENSG00000006625,835.34,1.73,0.08,21.55,5.8e-103,1.0e-101,GGCT
ENSG00000007080,2741.93,1.97,0.12,16.72, 9.5e-63, 6.8e-62,CCDC124
ENSG00000007264,1486.8,2.52,0.25,10.17, 2.7e-24, 7.3e-24,MATK
ENSG00000008300,1073.1,1.61,0.12,13.15, 1.7e-39, 6.8e-39,CELSR3
ENSG00000008441,1273,1.95,0.14,13.96, 2.6e-44, 1.2e-43,NFIX
ENSG00000008513,2358.63,-2.3,0.21,-10.98, 4.7e-28, 1.4e-27,ST3GAL1
ENSG00000009790,3328.05,-2.82,0.17,-16.78, 3.7e-63, 2.7e-62,TRAF3IP3
ENSG00000010295,907.08,-2.81,0.21,-13.61, 3.7e-42, 1.6e-41,IFFO1
ENSG00000010327,845.39,-4.25,0.78,-5.42, 5.9e-08, 9.1e-08,STAB1
ENSG00000010404,5229.27,-2.34,0.15,-15.29, 9.1e-53, 5.1e-52,IDS
ENSG00000010610,4624.71,-2.54,0.3,-8.39, 5.0e-17, 1.1e-16,CD4
ENSG00000011304,29828.95,1.57,0.08,20.39, 2.2e-92, 3.1e-91,PTBP1
ENSG00000011485,3598.19,1.85,0.07,26.74,1.6e-157,7.9e-156,PPP5C
ENSG00000011523,886.98,-3.53,0.16,-22.32,2.3e-110,4.8e-109,CEP68
ENSG00000011590,1404.38,4.54,0.26,17.58, 3.2e-69, 2.7e-68,ZBTB32
ENSG00000012817,3434.09,-1.64,0.08,-19.4, 7.4e-84, 8.7e-83,KDM5D
ENSG00000012822,1145.43,-4.27,0.27,-15.58, 1.0e-54, 6.0e-54,CALCOCO1
ENSG00000013275,6450.84,2.11,0.09,24.26,5.8e-130,1.8e-128,PSMC4
ENSG00000013288,1634.75,-2.1,0.18,-11.59, 4.6e-31, 1.5e-30,MAN2B2
ENSG00000013374,2592.3,-1.53,0.13,-11.39, 4.6e-30, 1.4e-29,NUB1
ENSG00000013441,3816.45,-1.51,0.1,-15.09, 2.0e-51, 1.1e-50,CLK1
ENSG00000013503,1330.78,2.09,0.11,19.57, 2.7e-85, 3.3e-84,POLR3B
ENSG00000013619,1101.4,4.72,0.19,25.16,1.1e-139,4.1e-138,MAMLD1
ENSG00000013810,2312.28,-1.68,0.09,-17.81, 5.8e-71, 5.1e-70,TACC3
ENSG00000015133,4706.05,-1.72,0.1,-17.71, 3.7e-70, 3.2e-69,CCDC88C
ENSG00000017483,5940.46,3.87,0.13,29.17,4.8e-187,4.3e-185,SLC38A5
ENSG00000018189,537.05,-1.84,0.16,-11.4, 4.0e-30, 1.2e-29,RUFY3
ENSG00000018510,4119.74,1.51,0.12,12.6, 2.0e-36, 7.5e-36,AGPS
ENSG00000018699,2616.78,1.99,0.07,26.81,2.8e-158,1.4e-156,TTC27
ENSG00000020426,621.55,1.66,0.12,13.45, 3.3e-41, 1.4e-40,MNAT1
ENSG00000020577,717.31,3.2,0.2,15.97, 2.0e-57, 1.3e-56,SAMD4A
ENSG00000021355,1857.75,-1.97,0.21,-9.22, 2.9e-20, 6.8e-20,SERPINB1
ENSG00000023734,7364.46,2.02,0.09,22.54,1.5e-112,3.4e-111,STRAP
ENSG00000023892,3146.19,-2.68,0.11,-23.58,6.7e-123,1.8e-121,DEF6
ENSG00000023902,2502.39,-2.98,0.23,-13.06, 5.7e-39, 2.2e-38,PLEKHO1
ENSG00000023909,2382.32,1.7,0.11,15.29, 8.3e-53, 4.7e-52,GCLM
ENSG00000024862,326.9,-1.97,0.18,-10.95, 6.6e-28, 2.0e-27,CCDC28A
ENSG00000025772,2579.03,2.53,0.1,24.27,4.4e-130,1.4e-128,TOMM34
ENSG00000026103,2856.6,1.71,0.15,11.27, 1.9e-29, 5.8e-29,FAS
ENSG00000026297,1442.35,-2.32,0.22,-10.71, 9.4e-27, 2.7e-26,RNASET2
ENSG00000026751,4179.4,1.8,0.41,4.41, 1.0e-05, 1.4e-05,SLAMF7
ENSG00000026950,2534.49,-3.46,0.16,-22.19,3.9e-109,8.0e-108,BTN3A1
ENSG00000027869,3887.54,1.95,0.17,11.25, 2.3e-29, 7.2e-29,SH2D2A
ENSG00000029153,373.41,2.21,0.21,10.38, 3.1e-25, 8.6e-25,BMAL2
ENSG00000029993,285.96,2.29,0.13,17.64, 1.2e-69, 1.1e-68,HMGB3
ENSG00000030582,3791.14,-2.6,0.66,-3.95, 7.7e-05, 1.0e-04,GRN
ENSG00000031081,2294.04,2.22,0.22,10.12, 4.7e-24, 1.2e-23,ARHGAP31
ENSG00000032219,1425.1,-1.76,0.08,-21.07, 1.4e-98, 2.3e-97,ARID4A
ENSG00000033050,9506.56,2.33,0.09,25.21,3.0e-140,1.1e-138,ABCF2
ENSG00000033327,725.22,-2.91,0.32,-9.09, 9.8e-20, 2.3e-19,GAB2
ENSG00000034053,1128.88,-2.61,0.12,-22.13,1.6e-108,3.3e-107,APBA2
ENSG00000034152,6495.02,1.65,0.1,15.8, 3.0e-56, 1.8e-55,MAP2K3
ENSG00000035499,52.73,1.84,0.25,7.51, 5.9e-14, 1.2e-13,DEPDC1B
ENSG00000035862,676.77,-5.14,0.85,-6.02, 1.7e-09, 2.9e-09,TIMP2
ENSG00000037241,818.7,2.07,0.14,14.52, 9.5e-48, 4.8e-47,RPL26L1
ENSG00000037757,892.34,-1.68,0.09,-18.07, 5.1e-73, 4.6e-72,MRI1
ENSG00000037897,1350.28,3.63,0.14,26.09,4.5e-150,2.0e-148,METTL1
ENSG00000039319,611.18,-2.2,0.31,-7.08, 1.4e-12, 2.7e-12,ZFYVE16
ENSG00000040933,2565.28,-2.21,0.14,-16.13, 1.6e-58, 1.1e-57,INPP4A
ENSG00000041357,6653.22,1.59,0.12,13.48, 2.0e-41, 8.2e-41,PSMA4
ENSG00000042493,1383.14,-3.37,0.69,-4.88, 1.1e-06, 1.6e-06,CAPG
ENSG00000044574,44858.12,2.34,0.12,20.18, 1.3e-90, 1.8e-89,HSPA5
ENSG00000046651,2349.56,-1.54,0.12,-13.16, 1.4e-39, 5.8e-39,OFD1
ENSG00000047056,1392.32,-1.54,0.1,-15.07, 2.6e-51, 1.4e-50,WDR37
ENSG00000047346,797.09,-3.92,0.22,-18.05, 7.8e-73, 7.0e-72,ATOSA
ENSG00000047644,1486.41,-1.59,0.13,-12.62, 1.7e-36, 6.1e-36,WWC3
