ensembl_gene_id	Length	GC
ENSMUSG00000000001	3262	0.4172286940527284
ENSMUSG00000000003	902	0.401330376940133
ENSMUSG00000000028	3506	0.47832287507130633
ENSMUSG00000000031	2656	0.5591114457831325
ENSMUSG00000000037	6397	0.43770517430045336
ENSMUSG00000000049	1594	0.5050188205771644
ENSMUSG00000000056	4806	0.4885559717020391
ENSMUSG00000000058	3335	0.392503748125937
ENSMUSG00000000078	4391	0.4245046686404008
ENSMUSG00000000085	7731	0.46320010347949814
ENSMUSG00000000088	2101	0.41408852927177536
ENSMUSG00000000093	3626	0.6323772752344181
ENSMUSG00000000094	3401	0.5427815348426933
ENSMUSG00000000103	3107	0.4003862246540071
ENSMUSG00000000120	3446	0.585896691816599
ENSMUSG00000000125	3076	0.5260078023407022
ENSMUSG00000000126	3329	0.5632322018624212
ENSMUSG00000000127	4680	0.44145299145299144
ENSMUSG00000000131	16920	0.46578014184397165
ENSMUSG00000000134	9261	0.5251052802073211
ENSMUSG00000000142	5506	0.5639302579004722
ENSMUSG00000000148	6179	0.5494416572260884
ENSMUSG00000000149	3416	0.5822599531615925
ENSMUSG00000000154	1699	0.5715126545026487
ENSMUSG00000000157	4324	0.509713228492137
ENSMUSG00000000159	2523	0.4883075703527547
ENSMUSG00000000167	2813	0.45929612513330964
ENSMUSG00000000168	4886	0.4744167007777323
ENSMUSG00000000171	1231	0.4939073923639318
ENSMUSG00000000182	1814	0.5474090407938258
ENSMUSG00000000183	4657	0.4988189821773674
ENSMUSG00000000184	9409	0.48708683175682854
ENSMUSG00000000194	12766	0.4945950180166066
ENSMUSG00000000197	14715	0.399864084267754
ENSMUSG00000000202	3187	0.5786005647944775
ENSMUSG00000000204	3964	0.4374369323915237
ENSMUSG00000000214	2364	0.550761421319797
ENSMUSG00000000215	1312	0.5358231707317073
ENSMUSG00000000216	2991	0.4978268137746573
ENSMUSG00000000223	8553	0.48743131065123346
ENSMUSG00000000244	6234	0.5367340391401989
ENSMUSG00000000247	4393	0.5970862736171182
ENSMUSG00000000248	2847	0.41622760800842995
ENSMUSG00000000253	2323	0.5596211795092553
ENSMUSG00000000263	2414	0.5265120132560066
ENSMUSG00000000266	8114	0.41607098841508505
ENSMUSG00000000275	5754	0.4994786235662148
ENSMUSG00000000276	8387	0.46214379396685346
ENSMUSG00000000278	2097	0.5016690510252741
ENSMUSG00000000282	4627	0.5936892154743895
ENSMUSG00000000290	3052	0.5324377457404981
ENSMUSG00000000295	3508	0.45153933865450396
ENSMUSG00000000296	1323	0.4950869236583522
ENSMUSG00000000301	2104	0.5361216730038023
ENSMUSG00000000303	4574	0.5107127240926979
ENSMUSG00000000305	7257	0.5437508612374259
ENSMUSG00000000308	2496	0.5216346153846154
ENSMUSG00000000317	3719	0.5200322667383706
ENSMUSG00000000318	2899	0.5036219385995171
ENSMUSG00000000320	4085	0.49938800489596086
ENSMUSG00000000326	2532	0.5335703001579779
ENSMUSG00000000339	1880	0.5170212765957447
ENSMUSG00000000340	3348	0.41935483870967744
ENSMUSG00000000346	2900	0.5327586206896552
ENSMUSG00000000355	1571	0.39847231063017186
ENSMUSG00000000359	2156	0.5714285714285714
ENSMUSG00000000365	6241	0.4042621374779683
ENSMUSG00000000374	8128	0.5108267716535433
ENSMUSG00000000378	3666	0.5455537370430987
ENSMUSG00000000381	1008	0.5287698412698413
ENSMUSG00000000384	3696	0.5500541125541125
ENSMUSG00000000385	7302	0.49698712681457136
ENSMUSG00000000386	3371	0.4811628596855532
ENSMUSG00000000392	5662	0.39773931472977747
ENSMUSG00000000394	1494	0.42704149933065594
ENSMUSG00000000399	2101	0.46644455021418374
ENSMUSG00000000402	2704	0.46264792899408286
ENSMUSG00000000409	2929	0.5472857630590645
ENSMUSG00000000411	1280	0.54140625
ENSMUSG00000000416	8829	0.45158002038735984
ENSMUSG00000000420	5519	0.46077187896358035
ENSMUSG00000000435	2083	0.4157465194431109
ENSMUSG00000000439	7005	0.47223411848679514
ENSMUSG00000000440	2953	0.4805282763291568
ENSMUSG00000000441	6845	0.4802045288531775
ENSMUSG00000000486	2763	0.5559174809989142
ENSMUSG00000000489	4161	0.5803893294881038
ENSMUSG00000000530	4265	0.558968347010551
ENSMUSG00000000531	2033	0.6202656173143138
ENSMUSG00000000532	4418	0.5346310547759167
