"Length"	"GC"
"MGP_C57BL6NJ_G0000001"	511	0.610567514677104
"MGP_C57BL6NJ_G0000002"	883	0.545866364665912
"MGP_C57BL6NJ_G0000003"	2668	0.517616191904048
"MGP_C57BL6NJ_G0000004"	1367	0.520848573518654
"MGP_C57BL6NJ_G0000005"	1326	0.532428355957768
"MGP_C57BL6NJ_G0000006"	2678	0.500373412994772
"MGP_C57BL6NJ_G0000007"	2592	0.511188271604938
"MGP_C57BL6NJ_G0000008"	1082	0.534195933456562
"MGP_C57BL6NJ_G0000009"	1900	0.469473684210526
"MGP_C57BL6NJ_G0000010"	1888	0.510593220338983
"MGP_C57BL6NJ_G0000011"	454	0.497797356828194
"MGP_C57BL6NJ_G0000012"	452	0.473451327433628
"MGP_C57BL6NJ_G0000013"	314	0.519108280254777
"MGP_C57BL6NJ_G0000014"	612	0.480392156862745
"MGP_C57BL6NJ_G0000015"	532	0.492481203007519
"MGP_C57BL6NJ_G0000016"	414	0.492753623188406
"MGP_C57BL6NJ_G0000017"	11	0.545454545454545
"MGP_C57BL6NJ_G0000018"	16	0.5625
"MGP_C57BL6NJ_G0000019"	12	0.416666666666667
"MGP_C57BL6NJ_G0000020"	10	0.4
"MGP_C57BL6NJ_G0000021"	17	0.411764705882353
"MGP_C57BL6NJ_G0000022"	17	0.352941176470588
"MGP_C57BL6NJ_G0000023"	29	0.620689655172414
"MGP_C57BL6NJ_G0000024"	17	0.352941176470588
"MGP_C57BL6NJ_G0000025"	29	0.620689655172414
"MGP_C57BL6NJ_G0000026"	29	0.620689655172414
"MGP_C57BL6NJ_G0000027"	10	0.5
"MGP_C57BL6NJ_G0000028"	17	0.352941176470588
"MGP_C57BL6NJ_G0000029"	23	0.347826086956522
"MGP_C57BL6NJ_G0000030"	17	0.705882352941177
"MGP_C57BL6NJ_G0000031"	23	0.304347826086957
"MGP_C57BL6NJ_G0000032"	10	0.5
"MGP_C57BL6NJ_G0000033"	10	0.5
"MGP_C57BL6NJ_G0000034"	54	0.5
"MGP_C57BL6NJ_G0000035"	48	0.583333333333333
"MGP_C57BL6NJ_G0000036"	100	0.49
"MGP_C57BL6NJ_G0000037"	53	0.60377358490566
"MGP_C57BL6NJ_G0000038"	38	0.552631578947368
"MGP_C57BL6NJ_G0000039"	38	0.421052631578947
"MGP_C57BL6NJ_G0000040"	38	0.473684210526316
"MGP_C57BL6NJ_G0000041"	42	0.5
"MGP_C57BL6NJ_G0000042"	38	0.5
"MGP_C57BL6NJ_G0000043"	38	0.552631578947368
"MGP_C57BL6NJ_G0000044"	43	0.488372093023256
"MGP_C57BL6NJ_G0000045"	38	0.394736842105263
"MGP_C57BL6NJ_G0000046"	38	0.447368421052632
"MGP_C57BL6NJ_G0000047"	42	0.571428571428571
"MGP_C57BL6NJ_G0000048"	278	0.503597122302158
"MGP_C57BL6NJ_G0000049"	294	0.45578231292517
"MGP_C57BL6NJ_G0000050"	352	0.465909090909091
"MGP_C57BL6NJ_G0000051"	359	0.504178272980501
"MGP_C57BL6NJ_G0000052"	353	0.495750708215297
"MGP_C57BL6NJ_G0000053"	480	0.495833333333333
"MGP_C57BL6NJ_G0000054"	350	0.497142857142857
"MGP_C57BL6NJ_G0000055"	352	0.5
"MGP_C57BL6NJ_G0000056"	425	0.510588235294118
"MGP_C57BL6NJ_G0000057"	353	0.498583569405099
"MGP_C57BL6NJ_G0000058"	347	0.530259365994236
"MGP_C57BL6NJ_G0000059"	418	0.509569377990431
"MGP_C57BL6NJ_G0000060"	413	0.493946731234867
"MGP_C57BL6NJ_G0000061"	353	0.481586402266289
"MGP_C57BL6NJ_G0000062"	369	0.506775067750677
"MGP_C57BL6NJ_G0000063"	350	0.517142857142857
"MGP_C57BL6NJ_G0000064"	355	0.507042253521127
"MGP_C57BL6NJ_G0000065"	361	0.498614958448753
"MGP_C57BL6NJ_G0000066"	380	0.457894736842105
"MGP_C57BL6NJ_G0000067"	405	0.511111111111111
"MGP_C57BL6NJ_G0000068"	362	0.516574585635359
"MGP_C57BL6NJ_G0000069"	363	0.473829201101928
"MGP_C57BL6NJ_G0000070"	357	0.448179271708683
"MGP_C57BL6NJ_G0000071"	351	0.524216524216524
"MGP_C57BL6NJ_G0000072"	414	0.456521739130435
"MGP_C57BL6NJ_G0000073"	353	0.481586402266289
"MGP_C57BL6NJ_G0000074"	351	0.50997150997151
"MGP_C57BL6NJ_G0000075"	461	0.481561822125813
"MGP_C57BL6NJ_G0000076"	350	0.474285714285714
"MGP_C57BL6NJ_G0000077"	399	0.496240601503759
"MGP_C57BL6NJ_G0000078"	353	0.453257790368272
"MGP_C57BL6NJ_G0000079"	351	0.495726495726496
"MGP_C57BL6NJ_G0000080"	351	0.495726495726496
"MGP_C57BL6NJ_G0000081"	351	0.492877492877493
"MGP_C57BL6NJ_G0000082"	361	0.470914127423823
"MGP_C57BL6NJ_G0000083"	351	0.512820512820513
"MGP_C57BL6NJ_G0000084"	350	0.474285714285714
"MGP_C57BL6NJ_G0000085"	437	0.469107551487414
"MGP_C57BL6NJ_G0000086"	353	0.473087818696884
"MGP_C57BL6NJ_G0000087"	353	0.481586402266289
"MGP_C57BL6NJ_G0000088"	350	0.46
"MGP_C57BL6NJ_G0000089"	351	0.481481481481481
"MGP_C57BL6NJ_G0000090"	394	0.472081218274112
"MGP_C57BL6NJ_G0000091"	359	0.465181058495822
"MGP_C57BL6NJ_G0000092"	353	0.504249291784703
"MGP_C57BL6NJ_G0000093"	356	0.446629213483146
"MGP_C57BL6NJ_G0000094"	357	0.428571428571429
"MGP_C57BL6NJ_G0000095"	357	0.431372549019608
"MGP_C57BL6NJ_G0000096"	357	0.453781512605042
"MGP_C57BL6NJ_G0000097"	357	0.42296918767507
"MGP_C57BL6NJ_G0000098"	359	0.49025069637883
"MGP_C57BL6NJ_G0000099"	380	0.481578947368421
"MGP_C57BL6NJ_G0000100"	359	0.442896935933148
"MGP_C57BL6NJ_G0000101"	377	0.437665782493369
"MGP_C57BL6NJ_G0000102"	351	0.495726495726496
"MGP_C57BL6NJ_G0000103"	388	0.492268041237113
"MGP_C57BL6NJ_G0000104"	357	0.473389355742297
"MGP_C57BL6NJ_G0000105"	351	0.50997150997151
"MGP_C57BL6NJ_G0000106"	351	0.498575498575499
"MGP_C57BL6NJ_G0000107"	386	0.505181347150259
"MGP_C57BL6NJ_G0000108"	351	0.418803418803419
"MGP_C57BL6NJ_G0000109"	351	0.487179487179487
"MGP_C57BL6NJ_G0000110"	351	0.484330484330484
"MGP_C57BL6NJ_G0000111"	351	0.492877492877493
"MGP_C57BL6NJ_G0000112"	397	0.458438287153652
"MGP_C57BL6NJ_G0000113"	351	0.492877492877493
"MGP_C57BL6NJ_G0000114"	351	0.504273504273504
"MGP_C57BL6NJ_G0000115"	358	0.486033519553073
"MGP_C57BL6NJ_G0000116"	377	0.506631299734748
"MGP_C57BL6NJ_G0000117"	351	0.504273504273504
"MGP_C57BL6NJ_G0000118"	294	0.527210884353742
"MGP_C57BL6NJ_G0000119"	351	0.521367521367521
"MGP_C57BL6NJ_G0000120"	358	0.497206703910615
